doc_id,word,frequency,positions
21stcenturywire--2022-01-01--Babylon Bee – The Best Sketches of 2021,babylon,1,[0]
21stcenturywire--2022-01-01--Babylon Bee – The Best Sketches of 2021,bee,1,[1]
21stcenturywire--2022-01-01--Babylon Bee – The Best Sketches of 2021,best,2,"[2, 8]"
21stcenturywire--2022-01-01--Babylon Bee – The Best Sketches of 2021,sketch,2,"[3, 9]"
21stcenturywire--2022-01-01--Babylon Bee – The Best Sketches of 2021,looking,1,[4]
21stcenturywire--2022-01-01--Babylon Bee – The Best Sketches of 2021,back,1,[5]
21stcenturywire--2022-01-01--Babylon Bee – The Best Sketches of 2021,highlight,1,[6]
21stcenturywire--2022-01-01--Babylon Bee – The Best Sketches of 2021,reel,1,[7]
21stcenturywire--2022-01-01--Babylon Bee – The Best Sketches of 2021,politically,1,[10]
21stcenturywire--2022-01-01--Babylon Bee – The Best Sketches of 2021,incorrect,1,[11]
21stcenturywire--2022-01-01--Babylon Bee – The Best Sketches of 2021,watch,1,[12]
21stcenturywire--2022-01-01--Babylon Bee – The Best Sketches of 2021,please,1,[13]
21stcenturywire--2022-01-01--Babylon Bee – The Best Sketches of 2021,help,1,[14]
21stcenturywire--2022-01-01--Babylon Bee – The Best Sketches of 2021,support,1,[15]
21stcenturywire--2022-01-01--Babylon Bee – The Best Sketches of 2021,independent,1,[16]
21stcenturywire--2022-01-01--Babylon Bee – The Best Sketches of 2021,medium,1,[17]
21stcenturywire--2022-01-01--Babylon Bee – The Best Sketches of 2021,platform,1,[18]
21stcenturywire--2022-01-02--CREATIVE CHAOS: 2022 Trends and Predictions from 21WIRE,creative,2,"[0, 171]"
21stcenturywire--2022-01-02--CREATIVE CHAOS: 2022 Trends and Predictions from 21WIRE,chaos,2,"[1, 172]"
21stcenturywire--2022-01-02--CREATIVE CHAOS: 2022 Trends and Predictions from 21WIRE,trend,11,"[2, 9, 13, 18, 49, 652, 1560, 1564, 1568, 1572, 1577]"
21stcenturywire--2022-01-02--CREATIVE CHAOS: 2022 Trends and Predictions from 21WIRE,prediction,9,"[3, 8, 14, 513, 1561, 1565, 1569, 1573, 1576]"
